timestamp_utc,exit_count,win_count,loss_count,win_rate,expectancy,payoff_ratio,profit_factor,max_drawdown,max_consecutive_losses,total_fee,total_realized
2026-04-19T07:43:46+00:00,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-19T07:43:53+00:00,0,0,0,0.0,0.0,0.0,0.0,0.0,0,125.0,0
2026-04-19T07:48:53+00:00,0,0,0,0.0,0.0,0.0,0.0,0.0,0,125.0,0
2026-04-19T07:53:53+00:00,0,0,0,0.0,0.0,0.0,0.0,0.0,0,125.0,0
2026-04-19T07:58:53+00:00,0,0,0,0.0,0.0,0.0,0.0,0.0,0,125.0,0
2026-04-19T08:03:53+00:00,0,0,0,0.0,0.0,0.0,0.0,0.0,0,125.0,0
2026-04-19T08:08:53+00:00,0,0,0,0.0,0.0,0.0,0.0,0.0,0,125.0,0
2026-04-19T08:13:53+00:00,0,0,0,0.0,0.0,0.0,0.0,0.0,0,125.0,0
2026-04-19T08:18:53+00:00,0,0,0,0.0,0.0,0.0,0.0,0.0,0,125.0,0
2026-04-19T08:23:53+00:00,1,0,1,0.0,-3583.5715891,0.0,0.0,-3583.5715891,1,248.20731786,-3583.5715891
2026-04-19T08:29:01+00:00,1,0,1,0.0,-3583.5715891,0.0,0.0,-3583.5715891,1,372.74374640999997,-3583.5715891
2026-04-19T08:34:01+00:00,1,0,1,0.0,-3583.5715891,0.0,0.0,-3583.5715891,1,372.74374640999997,-3583.5715891
2026-04-19T08:39:01+00:00,1,0,1,0.0,-3583.5715891,0.0,0.0,-3583.5715891,1,372.74374640999997,-3583.5715891
2026-04-19T08:44:01+00:00,1,0,1,0.0,-3583.5715891,0.0,0.0,-3583.5715891,1,372.74374640999997,-3583.5715891
2026-04-19T08:49:01+00:00,1,0,1,0.0,-3583.5715891,0.0,0.0,-3583.5715891,1,372.74374640999997,-3583.5715891
2026-04-19T08:54:01+00:00,1,0,1,0.0,-3583.5715891,0.0,0.0,-3583.5715891,1,372.74374640999997,-3583.5715891
2026-04-19T08:59:01+00:00,1,0,1,0.0,-3583.5715891,0.0,0.0,-3583.5715891,1,372.74374640999997,-3583.5715891
2026-04-19T09:04:01+00:00,1,0,1,0.0,-3583.5715891,0.0,0.0,-3583.5715891,1,372.74374640999997,-3583.5715891
